3.857	  52.900	   7.270	  20.000  -2.200	   
2.854	  39.500	   7.490	  40.000  -7.600	   
2.814	  49.700	   3.190	  52.000   9.400	   
4.190	  91.100	   5.250	  53.000  93.600	   
 .000	  54.200	   8.170	  45.000   7.400	   
2.918	  16.100	   8.350	  52.000 -67.800	   
2.225	  45.600	   8.040	  29.000   3.300	   
4.305	  74.200	   5.730	  27.000 -16.200	   
3.832	  39.100	   4.650	  43.000  -2.400	   
4.473	  17.500	   6.050	  49.000 -47.300	   
3.298	  58.800	   7.480	  32.000   1.300	   
2.691	  39.200	   6.350	  53.000 -18.400	   
2.036	  40.000	   6.570	  52.000 -13.300	   
2.887	  38.700	   5.040	  46.000  -3.200	   
2.992	  53.800	   7.870	  55.000   6.500	   
2.133	  64.500	   6.520	  47.000  24.100	   
2.564	  21.100	   5.580	  37.000    .500	   
2.874	  79.000	   7.250	  51.000  52.600	   
2.991	  56.500	   5.530	  49.000  12.900	   
3.193	  49.700	   3.290	  43.000  10.600	   
3.879	  45.600	   6.410	  52.000  -6.700	   
2.489	  25.000	  10.000	  38.000 -12.200	   
2.275	  52.500	   4.930	  43.000   9.900	   
2.874	 100.000	   6.370	  52.000 100.000	   
2.281	  35.000	   6.600	  55.000 -30.500	   
4.246	  58.800	   7.070	  29.000   1.900	   
2.677	  70.200	   7.580	  43.000  24.600	   
1.509	  45.500	   6.920	  47.000  -2.300	   
4.354	  33.400	   7.680	  43.000 -15.200	   
1.825	  42.300	   5.970	  45.000  -3.000	   
4.095	  45.500	   6.720	  50.000  -6.600	   
2.080	  47.100	   7.620	  48.000  -2.300	   
2.254	  30.700	   9.850	  55.000 -49.500	   
4.305	  26.400	   5.410	  44.000 -18.200	   
1.541	  15.400	   6.280	  46.000 -39.400	   
3.651	  67.700	   6.090	  63.000  63.700	   
2.794	  48.200	   7.340	  49.000    .800	   
3.654	  59.200	   7.010	  31.000    .600	   
2.333	  45.000	   5.280	  44.000  -1.900	   
4.027	  73.800	   6.340	  51.000  46.700	   
2.385	  54.300	   8.610	  47.000   3.300	   
2.619	  57.800	   8.410	  58.000  18.800	   
3.545	  99.600	   7.310	  53.000  98.400	   
3.070	  59.100	   7.370	  45.000  14.900	   
2.190	  34.800	   8.990	  51.000 -31.700	   
2.507	  29.200	   6.660	  46.000 -25.400	   
1.790	  48.800	   7.910	  46.000  -1.700	   
5.000	  71.300	   6.020	  41.000  20.400	   
3.838	  45.700	   4.320	  44.000   5.700	   
3.162	  54.900	   4.730	  38.000  11.300	   
3.428	  47.100	   6.310	  46.000  -1.300	   
2.294	  42.100	   3.590	  36.000  12.600	   
3.479	  81.100	   5.650	  44.000  39.400	   
3.631	  71.000	   5.930	  54.000  47.400	   
2.943	  43.800	   7.980	  44.000  -3.100	   
2.861	  52.000	   2.410	  38.000  18.600	   
3.746	  29.400	   9.390	  39.000 -12.300	   
4.109	  72.000	   4.720	  50.000  42.300	   
4.036	  95.900	   3.850	  49.000  86.100	   
2.615	  94.000	   8.420	  50.000  82.200	   
3.356	  89.300	   7.050	  40.000  25.600	   
2.593	  63.600	   6.970	  38.000   8.500	   
3.512	  34.900	   5.410	  43.000  -8.300	   
2.905	  59.100	   6.770	  45.000  15.800	   
2.523	  46.500	   5.540	  49.000   1.600	   
2.011	  72.700	   5.700	  52.000  47.300	   
3.879	  50.700	   4.810	  44.000   5.800	   
3.724	  40.600	   3.990	  35.000   7.700	   
4.032	  70.200	   6.410	  57.000  52.200	   
2.911	  10.000	   7.200	  54.000 -86.900	   
3.394	  42.400	   6.890	  46.000  -8.100	   
1.931	  11.200	   6.700	  44.000 -34.100	   
2.174	  18.200	   5.350	  51.000 -58.000	   
3.845	  90.900	   6.920	  40.000  30.800	   
3.584	  56.700	   5.180	  40.000   9.600	   
2.721	  29.200	   5.350	  52.000 -34.800	   
2.307	  22.700	   5.430	  52.000 -44.800	   
1.775	  45.700	   7.390	  53.000  -4.700	   
4.041	  34.100	   1.000	  48.000  -8.000	   
4.814	  82.700	   6.060	  42.000  26.700	   
4.526	  35.100	   6.150	  31.000  13.100	   
2.033	  26.900	   7.610	  49.000 -39.700	   
2.271	  56.800	   5.920	  40.000   9.600	   
2.183	  46.600	   7.550	  31.000   5.100	   
1.934	  42.200	   5.990	  63.000 -24.000	   
2.989	  47.700	   6.640	  47.000   2.300	   
4.157	  84.500	   4.260	  46.000  50.200	   
3.395	  49.600	   6.730	  54.000   3.800	   
3.610	  58.500	   5.610	  38.000   6.900	   
2.609	  22.900	   7.750	  66.000-100.000	   
4.593	  26.300	   5.830	  38.000  -3.000	   
4.507	  32.800	   4.780	  32.000  14.800	   
2.661	  51.000	   6.020	  35.000   4.200	   
3.268	  41.300	   3.010	  47.000  -1.000	   
4.037	  43.400	   7.470	  31.000   5.400	   
3.889	  47.100	   5.530	  40.000  10.500	   
2.425	  40.100	   9.120	  41.000 -10.100	   
1.559	  48.400	   5.590	  34.000  10.900	   
4.506	  45.400	   3.940	  46.000   3.900	   
3.829	  64.700	   4.440	  47.000  33.500	   

